A1C5,A1C7,A1C10,A1C13,A1C15,A1C17,A1C20,A1L5,A1L7,A1L10,A1L13,A1L15,A1L17,A1L20,A1LR5,A1LR7,A1LR10,A1LR13,A1LR15,A1LR17,A1LR20,A2C5,A2C7,A2C10,A2C13,A2C15,A2C17,A2C20,A2L5,A2L7,A2L10,A2L13,A2L15,A2L17,A2L20,A2LR5,A2LR7,A2LR10,A2LR13,A2LR15,A2LR17,A2LR20
1,0.96974622696611,0.978558072120064,0.928381923088677,0.88230332978315,0.826160578360996,0.770545052561997,0.709641578840087,0.676938402657519,0.658891259653501,0.774536793613188,0.718049304167359,0.550207218870721,0.589749222861513,0.709641578840087,0.676938402657519,0.634723601013601,0.768541125110687,0.774908701226612,0.541129548918712,0.595623372952546,0.695237914941495,0.471781034673353,0.433168430281885,0.493312592534369,0.421920579120068,0.521757490407792,0.512512598700371,0.502722832459204,0.485461951875058,0.45420351758472,0.491494335491596,0.46998207379942,0.597553249752297,0.509644855653627,0.502722832459204,0.468574061308388,0.45420351758472,0.489600558018838,0.473758430605816,0.647610381178925,0.545903119895638
0.756100228309515,0.75031186073538,0.983446505185636,0.82136180605803,0.806165511110276,0.745216388116261,0.831186583768767,0.690814974143917,0.559897267567301,0.61774864744883,0.604139432443018,0.692467834270563,0.54825881009862,0.543723211762908,0.690814974143917,0.558412912711123,0.62990299066445,0.60590299035201,0.676822224455659,0.552728149881076,0.545459368895492,0.84478220553255,0.91680265239945,0.823882967140187,0.723595808654577,0.695599731694625,0.644421147387794,0.642013430499414,0.573391760697299,0.609103677694289,0.639355838977692,0.68260596308801,0.752540030797392,0.687901870454517,0.727385873653027,0.573391760697299,0.587974400815086,0.615016164471751,0.68260596308801,0.785845850232243,0.687901870454517,0.734732137780654
0.920612122320006,0.947239912842084,0.950233364765936,0.766536845467725,0.679109741325115,0.591774408296703,0.8356793327617,0.570743205623865,0.551126026532766,0.519008822124459,0.665598202255935,0.585050512820916,0.506798323274288,0.555910682669038,0.570743205623865,0.56582641848445,0.529576561524311,0.672960862990032,0.602061580343779,0.485133999161267,0.545452635647841,0.724977380829148,0.986223655564288,0.510775033907659,0.43502692088758,0.413723999201163,0.430146909468114,0.358685969892642,0.666782816312771,0.701736069942524,0.536641483040128,0.513487485380002,0.422969544278638,0.375673956305107,0.432751267138556,0.666782816312771,0.701736069942524,0.516438513315098,0.521160487014829,0.437335341002278,0.360460548634959,0.434623951937608
0.8086784699925,0.636092134755864,0.656109430085167,0.837211557431648,0.84070307634986,0.852807863463186,0.787863330469645,0.562609433809902,0.696866599429552,0.531268156941618,0.492502179326766,0.561061775956053,0.553601708316535,0.477639477921879,0.563586468423923,0.696866599429552,0.520470493743659,0.520955674343833,0.541593641386324,0.576673034896986,0.483693747112011,0.862334480974957,0.604703362734506,0.6035487936459,0.383377855866516,0.766580376839198,0.652329688242885,0.566330795433173,0.637436922081985,0.496901939968848,0.476121174946788,0.30985535943964,0.595267961550144,0.562183595226008,0.526053146042084,0.637436922081985,0.475362959540059,0.454757001747699,0.319910134641885,0.569198708204358,0.594752575459189,0.508429469045754
1,0.915833378620727,0.594021297718681,0.820212601617856,0.742197099236151,0.686482212985852,0.681772467990894,0.650735201519265,0.829193315359999,0.481854080838891,0.59919895679857,0.538190149797861,0.470480599058554,0.56309293173249,0.650735201519265,0.829193315359999,0.485790304997386,0.589850403370476,0.534956209570659,0.474958961438785,0.549375969932987,0.631281039256489,0.679775984672636,0.644831755339965,0.734438422692927,0.500825911841819,0.560343457098223,0.649040507577663,0.449463821908297,0.651148102591484,0.511284942686375,0.641037731267056,0.537558045907135,0.57888209894719,0.773729773186922,0.449463821908297,0.626229365595704,0.472363365257785,0.641037731267056,0.543788451794205,0.598069711214391,0.80668453669071
1,0.733515938512572,0.903709019017022,0.791453502730266,0.918786327368922,0.805786052120958,0.842038145336589,0.589920422119056,0.66249156681908,0.710504947284928,0.797247123245909,0.767593991529548,0.638466616550571,0.624094901232523,0.589920422119056,0.643042779657385,0.685793935298093,0.76190884187588,0.826395426080804,0.736173926842815,0.624094901232523,0.691479592520235,0.772859141950237,0.705200863247215,0.756807527383223,0.502256417396358,0.579236792229935,0.645491256453878,0.601154598146627,0.728621983037661,0.484785423718674,0.795010277866962,0.566083136124871,0.680692286528099,0.61932067367943,0.601154598146627,0.728621983037661,0.484947672797194,0.795010277866962,0.620132042586543,0.635034731529755,0.612591598854205
1,0.994775510286138,0.922142379775701,0.902265010688897,0.705031942431365,0.63627373266248,0.870618584117866,0.650079941656616,0.654435114159828,0.634398194632861,0.569772424837043,0.510935488732548,0.38176999127183,0.393716302535565,0.650079941656616,0.654435114159828,0.608588231863849,0.574045768347544,0.50315929690721,0.403994659644576,0.408562540929928,0.773245422688827,0.885605515448362,0.628369135923767,0.642603396578382,0.635897435897436,0.536322433489982,0.5385953446474,0.617407806101499,0.703200587472813,0.579338534471755,0.598712433229918,0.693146485657981,0.580492138869255,0.772685361226315,0.617407806101499,0.703200587472813,0.558142423380809,0.598712433229918,0.690449193196686,0.532525620024461,0.710711080174358
0.961758678206546,0.977671856026968,0.898786927901811,0.743421798059686,0.680385270764726,0.710529303103167,0.679902803295205,0.644834484361511,0.503326066820729,0.547252243575697,0.595645515245078,0.544927674606274,0.572748366040847,0.598454109041033,0.644834484361511,0.498777459769897,0.544922235044233,0.594277276412191,0.528546245543219,0.572748366040847,0.565849734314687,0.586160437567584,0.85816901305972,0.655518074836062,0.564318100694398,0.633514691569224,0.615145289701759,0.523314383740197,0.580031979647686,0.444515361777017,0.593473346410047,0.726274523704515,0.662271746220858,0.688800938823686,0.650587733200653,0.580031979647686,0.45904090815675,0.593473346410047,0.804352179775633,0.672096274846721,0.62026856600698,0.63892318073042
0.920929424525264,0.992227780112687,0.908377258309668,0.770592142375498,0.631526674233825,0.656611325100566,0.754428311298592,0.608548565888274,0.615989493152652,0.671073919661219,0.53546155630998,0.592269289841762,0.560703086009283,0.592930906060846,0.608548565888274,0.59456872957592,0.672826015727079,0.53546155630998,0.551466559892971,0.587106401429159,0.60720558773277,0.765438013386501,0.772857448874798,0.542792478832896,0.620187651426583,0.59970224443667,0.535054842302504,0.477296726504752,0.551113984583981,0.77826319896284,0.534329999264532,0.68012609591568,0.673540963492094,0.632376936503028,0.552770455160524,0.551113984583981,0.754950907272818,0.546617339818389,0.68012609591568,0.677665991756091,0.570936789523381,0.563443693107609
0.805402935216784,0.902942949149378,0.969977462913967,0.866727736002721,0.670466807121005,0.797284518495562,0.706386218900355,0.501124547736236,0.575920200960642,0.357904253746142,0.425668523467187,0.45635482379189,0.496188797186355,0.460545684052283,0.501124547736236,0.575920200960642,0.337976545833282,0.396326460689329,0.479529989937191,0.412569322631514,0.463470790506868,0.525336622897268,0.800680604225692,0.674478138119688,0.519305208230504,0.566952064767896,0.553763960426887,0.560026518606534,0.556050099119696,0.538781742964697,0.623882344303219,0.545502462179787,0.601702492909935,0.712392088887227,0.744824700356538,0.556050099119696,0.538781742964697,0.59978713730677,0.547425376457689,0.551966557718654,0.739806536575198,0.667063991350939
